ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn
1.0,-7.9499186933935585e9,2.180602111147e6,2.92107314401585e9,8.120495708462839e8,776676.529043,2.672671134672e6,7.194660800510299e7,2.82209745435957e9,7.5395955668818e7,8.025314649062376e9,4945.690643,1.4846181233324e7,8.987902261648e6,5.836356086159e6
2.0,-6.501234101801902e7,1.7105146540060001e6,4.987151534534062e8,2.23985573222403e8,3.5093339397952996e7,2.14344872045e7,4.16507089311058e8,1.612826408477024e10,4.73034915913511e8,5.3804725693153e8,4963.7022099999995,1.4698992243836e7,9.103953102449e6,6.005686328909e6
3.0,1.55521977101736e8,1.7044013561210001e6,4.3696509497079104e8,2.07833063461783e8,5.699356939355699e7,2.1908769031682e7,4.1979080362896e8,1.6254473552787333e10,4.9869314205419904e8,3.4317116495246303e8,4964.501121,1.4698023854882997e7,9.105675171293e6,6.008590751132e6
4.0,2.354656441008985e6,1.728655677016e6,4.6303750449199975e8,2.11857892036133e8,5.357172832360999e7,2.0238427633075e7,4.05445712445639e8,1.5688738315357725e10,4.7925586840232396e8,4.7690121196131504e8,4964.461562,1.4691208219774999e7,9.101129764904998e6,6.005434500105e6
5.0,4.6515824285456496e8,1.693111642277e6,3.6089662794747174e8,1.88625031137375e8,9.615959840198702e7,2.4777743097064998e7,4.27066069063837e8,1.6536424311145163e10,5.48003410562889e8,8.2845167708324e7,4964.928341000001,1.4694528625452999e7,9.105051523756e6,6.0090802032550005e6
6.0,-8.429797009101932e8,1.756656333499e6,7.198104214110376e8,2.77646974909402e8,9.184016541998e6,1.2302306407641001e7,3.85038916587897e8,1.4911424329505156e10,4.06525239537536e8,1.249504940447729e9,4959.737340000001,1.4700987721153002e7,9.090336928302e6,5.986308432746001e6
7.0,5.01027791983656e8,1.679942192372e6,3.552622364191228e8,1.89065729207688e8,9.3441012728219e7,3.0246111335831e7,4.36408377862057e8,1.6898938533786655e10,5.600955019261069e8,5.9067709942451e7,4964.896242000001,1.4693095106848001e7,9.103949049376e6,6.007973788334001e6
8.0,-9.644058823115162e9,2.3164577884070002e6,3.5769232688034487e9,9.76002061329636e8,140376.011777,527616.981831,2.184587205294e6,8.7547803594159e7,2.8525801989019997e6,9.646911403314062e9,4944.909500999999,1.4825542859250002e7,8.954989946934e6,5.802411037387e6
9.0,-9.710131504091208e9,2.317124295727e6,3.598166744449154e9,9.816513614178259e8,86240.014282,377868.84220799996,1.561299379762e6,6.1079037477065004e7,2.025408236252e6,9.712156912327457e9,4944.883321,1.4825064456237003e7,8.954190295395e6,5.801723396235e6
10.0,5.3091363799686795e8,1.679347341339e6,3.5018995456885314e8,1.8791947515933698e8,9.8282755117255e7,3.0278703099017e7,4.37532927420066e8,1.6942406050769127e10,5.66094385636338e8,3.5180747639469996e7,4964.910086,1.4692100123932999e7,9.103423178061e6,6.007689337967001e6
