management,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
all_econ,1581247.3317630019,132842481.4814018,6834952.4702999955,506385003.5119539,19618818575.369347,2762472.424875,0.0,0.0,0.0,0.0,0.0,515982428.40712935,515982428.40712935,94712727.25775373
all_urban,1249636.8486790005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extensification_bmps_irrigated,1818860.9650640052,279436336.4279116,84471523.27396683,219618498.22250643,8542978494.5678835,1200819742.3811054,5016.495009999999,15702615.100514952,9966164.518044967,6884016.835119004,1120535338.1445458,1504909763.8775742,384374425.73303187,853740330.3443184
extensification_bmps_rainfed,1813392.1160490008,283659756.37294024,88854846.79445495,238418718.485019,9273786243.116713,1077468781.7469614,5015.482869999996,15580061.076571012,9870275.272751966,6802826.761022002,710828016.7931002,1404742347.0264313,693914330.2333341,854610048.505116
extensification_current_practices,1813134.1558089992,245766280.61122742,86733143.4592767,222762736.41334006,8669069269.071482,1235814598.7466724,5015.932968999994,15883590.62916095,10054199.739949966,6923456.476228003,251883144.35623065,1545310478.6192942,1293427334.2630599,727761643.5264097
extensification_intensified_irrigated,1739923.1825600022,241483810.14818132,83339454.65673667,211571260.4037091,8231933273.733716,1442235862.5866487,5019.708764999999,16181374.486538013,10251071.626313958,7066048.15455399,966105613.5162146,1737146577.647092,771040964.1308811,720801971.7353276
extensification_intensified_rainfed,1742433.2934609998,247541332.23650265,87964058.41828276,232248852.1298459,9035823460.49348,1291514390.7039034,5016.569959999992,16043465.525793953,10146791.45763195,6979824.460356982,251883144.35623065,1611727301.2520294,1359844156.8957944,726935082.3239775
fixedarea_bmps_irrigated,1831073.860158002,328386698.2853684,87998673.34615387,261456803.8600854,10156571298.146198,791008128.8306581,5015.861873,15153424.581776004,9616442.69431001,6632968.150481014,1149710921.2242005,1140463606.036893,-9247315.18730506,1000953134.4167627
fixedarea_bmps_rainfed,1830995.1937210013,328600681.6696604,88259978.89035787,261654210.5739583,10164724937.755573,789337858.2141162,5015.861873,15148215.766327014,9609917.944464002,6625444.392615014,84844453.0,1139252047.6784284,1054407594.6784289,1001574667.3669785
fixedarea_intensified_irrigated,1743578.7349629994,268588339.6075414,97813943.37514196,290707447.249787,11288009764.749094,891931730.3196974,5017.380704999999,15671062.108619044,9964376.072533978,6899474.404596999,329031922.8910438,1280453120.9446254,951421198.0535854,759063716.5993372
fixedarea_intensified_rainfed,1743798.5035879994,268592228.60949343,97813943.37514196,290707447.249787,11288009764.749094,890914313.9525558,5017.473493999999,15671245.333283043,9964434.340503974,6899468.666860992,0.0,1279435704.577482,1279435704.577482,759077976.2731613
forestry_expansion,1951650.1174999978,461811526.2894044,420936982.6907821,93216472.90912502,3631456864.3343644,154496371.84657168,4943.973846,14821282.515814006,8949743.029724998,5797119.449826979,0.0,668649827.4464777,668649827.4464777,1620679792.4411306
grazing_expansion,1679415.753679003,188025602.07942247,30261519.983964004,437627188.99202615,16946076063.371304,98231539.98187983,4964.851786999993,14688813.585550968,9100640.777011,6005167.186266951,0.0,566120248.9578707,566120248.9578707,350505686.3571205
restoration,2332927.089994006,1004957107.6813548,0.0,0.0,0.0,0.0,4943.973846,14821282.515814006,8949743.029724998,5797119.449826979,10020246563.835812,0.0,-10020246563.835812,3684842728.1649685
sustainable_current,1785468.3198510017,268601570.0274624,97813943.37514196,290707447.249787,11288009764.749094,854334173.9609216,5016.4280039999985,15471456.68143301,9821914.73423396,6787422.6052699955,0.0,1242855564.5858452,1242855564.5858452,759112228.1390475
